player_name,tracker_id,solo_KillDeathRatio,solo_WinRatio,solo_TimeSurvived,solo_RoundsPlayed,solo_Wins,solo_WinTop10Ratio,solo_Top10s,solo_Top10Ratio,solo_Losses,solo_Rating,solo_BestRating,solo_DamagePg,solo_HeadshotKillsPg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_RevivesPg,solo_RoadKillsPg,solo_TeamKillsPg,solo_TimeSurvivedPg,solo_Top10sPg,solo_Kills,solo_Assists,solo_Suicides,solo_TeamKills,solo_HeadshotKills,solo_HeadshotKillRatio,solo_VehicleDestroys,solo_RoadKills,solo_DailyKills,solo_WeeklyKills,solo_RoundMostKills,solo_MaxKillStreaks,solo_WeaponAcquired,solo_Days,solo_LongestTimeSurvived,solo_MostSurvivalTime,solo_AvgSurvivalTime,solo_WinPoints,solo_WalkDistance,solo_RideDistance,solo_MoveDistance,solo_AvgWalkDistance,solo_AvgRideDistance,solo_LongestKill,solo_Heals,solo_Revives,solo_Boosts,solo_DamageDealt,solo_DBNOs,duo_KillDeathRatio,duo_WinRatio,duo_TimeSurvived,duo_RoundsPlayed,duo_Wins,duo_WinTop10Ratio,duo_Top10s,duo_Top10Ratio,duo_Losses,duo_Rating,duo_BestRating,duo_DamagePg,duo_HeadshotKillsPg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_RoadKillsPg,duo_TeamKillsPg,duo_TimeSurvivedPg,duo_Top10sPg,duo_Kills,duo_Assists,duo_Suicides,duo_TeamKills,duo_HeadshotKills,duo_HeadshotKillRatio,duo_VehicleDestroys,duo_RoadKills,duo_DailyKills,duo_WeeklyKills,duo_RoundMostKills,duo_MaxKillStreaks,duo_WeaponAcquired,duo_Days,duo_LongestTimeSurvived,duo_MostSurvivalTime,duo_AvgSurvivalTime,duo_WinPoints,duo_WalkDistance,duo_RideDistance,duo_MoveDistance,duo_AvgWalkDistance,duo_AvgRideDistance,duo_LongestKill,duo_Heals,duo_Revives,duo_Boosts,duo_DamageDealt,duo_DBNOs,squad_KillDeathRatio,squad_WinRatio,squad_TimeSurvived,squad_RoundsPlayed,squad_Wins,squad_WinTop10Ratio,squad_Top10s,squad_Top10Ratio,squad_Losses,squad_Rating,squad_BestRating,squad_DamagePg,squad_HeadshotKillsPg,squad_HealsPg,squad_KillsPg,squad_MoveDistancePg,squad_RevivesPg,squad_RoadKillsPg,squad_TeamKillsPg,squad_TimeSurvivedPg,squad_Top10sPg,squad_Kills,squad_Assists,squad_Suicides,squad_TeamKills,squad_HeadshotKills,squad_HeadshotKillRatio,squad_VehicleDestroys,squad_RoadKills,squad_DailyKills,squad_WeeklyKills,squad_RoundMostKills,squad_MaxKillStreaks,squad_WeaponAcquired,squad_Days,squad_LongestTimeSurvived,squad_MostSurvivalTime,squad_AvgSurvivalTime,squad_WinPoints,squad_WalkDistance,squad_RideDistance,squad_MoveDistance,squad_AvgWalkDistance,squad_AvgRideDistance,squad_LongestKill,squad_Heals,squad_Revives,squad_Boosts,squad_DamageDealt,squad_DBNOs
Ancine,117188,2.38,9.5,205704.47,200,19,0.21,59,29.5,181,2600.23,2588.77,263.37,0.41,3.64,2.15,3917.45,0,0.03,0,1028.52,0.3,431,41,0,0,82,0.19,4,6,35,39,12,3,0,45,2091.54,2091.54,879.5,6092,337708.55,445782.15,783490.88,1603.09,1628.66,394.67,727,0,743,52674.94,0,3.47,20.51,93177.22,78,16,0.54,36,46.2,62,2148.26,2152.74,323.55,0.47,2.91,2.76,4548.86,0.26,0.04,0,1194.58,0.46,215,56,0,0,37,0.17,1,3,54,88,14,4,0,22,2183.6,2183.6,1313.93,5500,168129.73,186681.33,354811.06,2559.16,2504.43,437.46,227,20,258,25236.61,118,2.39,9.2,405059.14,348,32,0.16,173,49.7,316,2229.22,2250.84,299.84,0.35,2.59,2.17,4495.35,0.19,0.03,0.02,1163.96,0.5,755,163,0,6,122,0.16,6,9,39,84,19,7,0,74,2181.5,2181.5,1184.29,6466,714680.91,849699.24,1564380.41,2068.1,2219.15,480.74,901,67,852,104343.43,678
Indominant,8939,2.49,5.56,108806.57,144,8,0.68,20,13.9,136,2195.95,2228.96,268.26,0.46,1.62,2.35,1398.29,0,0,0.01,755.6,0.14,339,13,1,1,66,0.19,3,0,23,51,12,4,0,28,2018,2018,698.28,2890,137746.41,63608.04,201354.39,905.85,653.16,981.49,234,0,238,38628.98,0,2.15,3.85,110777.5,130,5,0.16,32,24.6,125,1939.26,2074.88,265.15,0.27,2.58,2.07,2186.13,0.17,0,0.02,852.13,0.25,269,67,1,2,35,0.13,2,0,1,8,15,2,0,20,2173.87,2173.87,852.13,1586,141945.6,142251.3,284196.9,1091.89,1094.24,298.54,335,22,203,34470.1,158,3,23.95,234794.9,167,40,0.34,118,70.7,127,2563.14,2594.2,301.83,0.34,3.02,2.28,5753.2,0.28,0.02,0.01,1405.96,0.71,381,152,0,1,56,0.15,6,4,4,71,10,3,0,19,2185.62,2185.62,1405.96,2142,323174.1,637610.1,960784.3,1935.17,3818.02,462.03,504,47,432,50405.83,300
FantaRice,53497,1.39,2.22,46788.55,45,1,0.11,9,20,44,1876.39,1910.93,150.9,0.18,1.47,1.36,4984.18,0,0,0,1039.75,0.2,61,5,0,0,8,0.13,0,0,4,4,7,1,0,14,1903.54,1903.54,1039.75,1547,83000.91,141287.3,224288.3,1844.46,3139.72,224.9,66,0,89,6790.31,0,2.84,13.64,25862.48,22,3,0.33,9,40.9,19,1701.4,1740.11,289.35,0.32,2.73,2.45,5507.3,0.23,0,0,1175.57,0.41,54,20,0,0,7,0.13,1,0,19,19,11,2,0,7,1951.24,1951.24,1175.57,1400,46526.06,74634.65,121160.7,2114.82,3392.48,198.98,60,5,60,6365.64,32,1.31,5.52,341955.5,308,17,0.12,143,46.4,291,2560.33,2617.57,164.5,0.17,2.02,1.24,4584.01,0.2,0.01,0.01,1110.25,0.46,382,122,1,2,53,0.14,8,3,19,19,15,7,0,24,2189.96,2189.96,1110.24,2119,521845.4,890029.1,1411875,1694.3,2889.7,318.57,622,62,493,50667.38,326
sPray,177499,1.09,2.24,329066,268,6,0.08,74,27.6,262,2593.06,2637.37,130.38,0.16,2.83,1.06,4514.67,0,0.03,0,1227.86,0.28,285,21,1,1,44,0.15,7,9,3,3,7,2,0,43,2145.34,2145.34,1227.86,2169,525190.3,684741.6,1209932,1959.66,2555.01,296.31,759,0,541,34943.04,0,0.98,0,56971.46,54,0,0,15,27.8,54,1809.88,1815.8,165.41,0.15,2.41,0.98,3892.46,0.2,0,0.06,1055.03,0.28,53,13,0,3,8,0.15,5,0,0,4,4,2,0,18,1971.96,1971.96,1055.03,1521,92781.55,117411.3,210192.8,1718.18,2174.28,143.87,130,11,74,8931.95,42,1.37,12.24,51374.79,49,6,0.29,21,42.9,43,2157.69,2164.74,188.18,0.24,2.35,1.2,4285.92,0.2,0,0.04,1048.47,0.43,59,27,0,2,12,0.2,1,0,0,6,6,4,0,10,1913.83,1913.83,1048.46,1805,84899.46,125110.9,210010.3,1732.64,2553.28,269.71,115,10,64,9220.83,55
LinhLe,95346,1.71,7.18,212777.95,181,13,0.14,62,34.3,168,2562.87,2575.8,190.36,0.35,1.36,1.59,4654.72,0,0.07,0.01,1175.57,0.34,287,22,2,2,63,0.22,0,13,3,17,12,3,0,33,2187.72,2187.72,1086.58,4759,317314.82,525189.01,842503.93,1490.85,3297.58,254.81,247,0,346,34454.48,0,1.7,2.82,61781.92,71,2,0.06,19,26.8,69,1774.8,1771.18,202.97,0.32,1.87,1.65,2400.79,0.07,0.01,0.03,870.17,0.27,117,19,0,2,23,0.2,0,1,21,21,10,3,0,12,2161.54,2161.54,909.12,2541,100336.52,70119.43,170455.98,1344.25,1935.17,513.56,133,5,74,14410.52,67,2.9,9.09,60071.73,66,6,0.2,26,39.4,60,1943.76,1918.45,315.2,0.33,1.7,2.64,2422.57,0.33,0.02,0.09,910.18,0.39,174,30,1,6,22,0.13,0,1,35,107,11,3,0,11,2175.73,2175.73,923.44,2732,90626.95,69262.93,159889.86,1351.41,1215.6,289.99,112,22,78,20803.11,150
Complaens,45393,4.5,20,13810.34,15,3,1,3,20,12,1526.65,1391.5,372.57,1.67,0.53,3.6,2267.51,0,0,0,920.69,0.2,54,0,0,0,25,0.46,0,0,25,25,18,4,0,8,1924.23,1924.23,957.55,2362,17010.93,17001.71,34012.64,866.48,1052.75,352.39,8,0,23,5588.53,0,3.86,12.5,9835.15,8,1,0.17,3,37.5,7,1432.2,1386.75,366.39,0.38,0.62,3.38,3593.22,0.12,0,0,1229.39,0.38,27,3,0,0,3,0.11,1,0,13,13,7,2,0,5,1838.14,1838.14,1147.05,2194,16346.33,12399.42,28745.75,1859.26,1551.29,471.68,5,1,19,2931.09,13,2.67,16.84,222934.06,196,33,0.22,103,52.6,163,2559.62,2564.23,316.34,0.47,1.43,2.22,3554.53,0.18,0,0,1137.42,0.53,436,93,0,0,92,0.21,13,0,40,67,9,4,0,29,2033.11,2033.11,1097.12,4878,291918.14,404769.39,696687.68,1631.28,2069.93,1510.23,281,35,361,62002.61,448
gochuslave,193946,1.36,2.87,180633.71,174,5,0.06,40,23,169,2437.52,2497.18,158.87,0.38,1.37,1.32,3222.31,0,0,0.01,1038.12,0.23,229,9,1,1,66,0.29,2,0,3,34,6,2,0,41,2037.76,2037.76,974.33,4542,221949.93,338731.9,560681.82,1044.12,1498.62,368.87,239,0,368,27643.17,0,1.34,3.85,61649.25,52,2,0.09,23,44.2,50,2095.42,2058.74,155.21,0.33,1.71,1.29,4496.57,0.08,0,0,1185.56,0.44,67,19,0,0,17,0.25,1,0,9,9,7,2,0,13,2181.45,2181.45,1185.56,1736,69843.76,163977.7,233821.5,1343.15,3153.42,309.37,89,4,105,8070.93,36,1.14,5.13,300569.63,273,14,0.23,114,41.8,259,2627.18,2639.24,169.04,0.23,2.23,1.08,3820.8,0.2,0.01,0.03,1100.99,0.42,296,105,1,8,62,0.21,8,2,10,10,8,3,0,42,2131.48,2131.48,1133.21,3272,421291.27,621786.41,1043077.78,1648.8,2263.4,351.07,608,54,468,46148.05,266
fre1tag,42120,4,33.33,5240.12,3,1,0.25,2,66.7,2,1437.14,1354.76,261.89,1.33,0.33,2.67,2681.45,0,0,0,1746.71,0.67,8,0,0,0,4,0.5,0,0,8,8,6,1,0,2,1880.7,1880.7,1685.98,2235,6721.81,1322.55,8044.36,2089.68,476.04,54.42,1,0,7,785.66,0,0.7,1.25,78045.92,80,1,0.02,18,22.5,79,2100.32,2117.44,92.33,0.1,1.49,0.69,2551.86,0.12,0,0,975.57,0.22,55,17,0,0,8,0.15,0,0,12,23,5,2,0,21,1966.08,1966.08,1197.39,3808,120185.78,83963.1,204148.86,1678.07,1891.7,206.87,119,10,80,7386.12,31,0.93,7.88,475784.53,457,36,0.2,192,42,421,2541.82,2603.19,105.3,0.1,1.49,0.85,3169.54,0.25,0,0.02,1041.1,0.42,390,165,4,11,47,0.12,6,0,10,22,11,4,0,54,2186.87,2186.87,1095.03,4685,757744.88,690732.75,1448478.14,1678.11,1772.38,336.33,679,114,534,48123.84,301
Phon,23320,4,20,4827.08,5,1,0.25,2,40,4,1405.19,1422.92,326.92,1.4,0.6,3.2,4554.06,0,0,0,965.42,0.4,16,1,0,0,7,0.44,0,0,2,10,8,2,0,4,1879.03,1879.03,890.43,2175,6886.89,15883.44,22770.32,1494.96,1985.43,235.36,3,0,4,1634.62,0,4.48,26.03,102409.76,73,19,0.53,49,67.1,54,2315.96,2328.14,416.76,0.78,4.88,3.32,5833.19,0.33,0.04,0,1402.87,0.67,242,84,0,0,57,0.24,5,3,43,71,13,3,0,32,2176.07,2176.07,1406.58,4338,141516.42,284306.24,425822.75,2082.35,3972.29,358.84,356,24,231,30423.64,134,4.57,34.65,379376,254,88,0.41,204,80.3,166,2562.52,2577.5,356.61,0.59,4.83,2.99,6545.08,0.32,0.03,0.01,1493.61,0.8,759,312,1,3,149,0.2,20,7,12,56,12,4,0,51,2064.64,2064.64,1421.24,3938,543754.7,1118695.7,1662450.3,2062.98,3989.25,497.02,1226,82,798,90577.7,574
Chocoball,202537,1.89,6.32,115408.4,95,6,0.19,31,32.6,89,2592.37,2588.25,227.03,0.38,1.79,1.77,4473.99,0,0.06,0,1214.83,0.33,168,15,0,0,36,0.21,2,6,5,21,7,2,0,22,2026.53,2026.53,1214.82,2160,142048.3,282980.8,425029.1,1495.24,2978.74,248.7,170,0,313,21567.8,0,1.84,5.38,207221.5,223,12,0.18,68,30.5,211,2295.71,2369.44,227.11,0.31,1.74,1.74,3573.84,0.17,0.02,0.04,929.24,0.3,388,59,5,9,70,0.18,0,5,24,63,12,4,0,29,1993.07,1993.07,929.24,1890,284749.1,512218.2,796967.3,1276.9,2296.94,322.71,388,38,423,50645.5,231,1.54,5.18,173388.9,193,10,0.14,70,36.3,183,2239.6,2241.9,202.83,0.25,1.27,1.46,3009.44,0.25,0,0.02,898.39,0.36,281,90,1,3,49,0.17,4,0,15,15,8,4,0,19,1963.09,1963.09,898.39,1858,264456.8,316364.8,580821.6,1370.24,1639.2,1202.49,245,49,277,39145.6,269
